Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
SEQN,Respondent sequence number.,UCPREG_L,Urine Pregnancy Test,2021,2023,Laboratory,None
URXPREG,Urine Pregnancy Result,UCPREG_L,Urine Pregnancy Test,2021,2023,Laboratory,None
LBXAGP,alpha-1-acid glycoprotein (g/L),AGP_L,alpha-1-Acid Glycoprotein,2021,2023,Laboratory,None
SEQN,Respondent sequence number.,AGP_L,alpha-1-Acid Glycoprotein,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 Year Weight,AGP_L,alpha-1-Acid Glycoprotein,2021,2023,Laboratory,None
LBDFERSI,Ferritin(µg/L),FERTIN_L,Ferritin,2021,2023,Laboratory,None
LBXFER,Ferritin(ng/mL),FERTIN_L,Ferritin,2021,2023,Laboratory,None
SEQN,Respondent sequence number.,FERTIN_L,Ferritin,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 Year Weight,FERTIN_L,Ferritin,2021,2023,Laboratory,None
LBDTFRSI,Transferrin receptor (nmol/L),TFR_L,Transferrin Receptor,2021,2023,Laboratory,None
LBXTFR,Transferrin receptor (mg/L),TFR_L,Transferrin Receptor,2021,2023,Laboratory,None
SEQN,Respondent sequence number.,TFR_L,Transferrin Receptor,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 MEC Weight,TFR_L,Transferrin Receptor,2021,2023,Laboratory,None
LBDBANO,Basophils number (1000 cells/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBDEONO,Eosinophils number (1000 cells/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBDLYMNO,Lymphocyte number (1000 cells/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBDMONO,Monocyte number (1000 cells/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBDNENO,Segmented neutrophils number (1000 cell/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXBAPCT,Basophils percent (%),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXEOPCT,Eosinophils percent (%),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXHCT,Hematocrit (%),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXHGB,Hemoglobin (g/dL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXLYPCT,Lymphocyte percent (%),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXMC,Mean cell hemoglobin concentration (g/dL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXMCHSI,Mean cell hemoglobin (pg),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXMCVSI,Mean cell volume (fL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXMOPCT,Monocyte percent (%),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXMPSI,Mean platelet volume (fL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXNEPCT,Segmented neutrophils percent (%),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXNRBC,Nucleated red blood cells (/100 WBC),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXPLTSI,Platelet count (1000 cells/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXRBCSI,Red blood cell count (million cells/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXRDW,Red cell distribution width (%),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBXWBCSI,White blood cell count (1000 cells/uL),CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
SEQN,Respondent sequence number.,CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 Year Weight,CBC_L,Complete Blood Count with 5-Part Differential in Whole Blood,2021,2023,Laboratory,None
LBDRFO,RBC folate (ng/mL),FOLATE_L,Folate - RBC,2021,2023,Laboratory,None
LBDRFOSI,RBC folate (nmol/L),FOLATE_L,Folate - RBC,2021,2023,Laboratory,None
SEQN,Respondent sequence number,FOLATE_L,Folate - RBC,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 Year Weight,FOLATE_L,Folate - RBC,2021,2023,Laboratory,None
LBD17HLC,17α-hydroxyprogesterone Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBD17HSI,17α-hydroxyprogesterone (nmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDAMHLC,Anti-Mullerian hormone Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDAMHSI,Anti-Mullerian hormone (pmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDANDLC,Androstenedione Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDANDSI,Androstenedione (nmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDDHELC,Dehydroepiandrosterone sulfate Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDDHESI,Dehydroepiandrosterone sulfate (µmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDES1LC,Estrone Sulfate Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDES1SI,Estrone Sulfate (pmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDESOLC,Estrone Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDESOSI,Estrone (pmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDESTLC,Estradiol Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDESTSI,Estradiol (pmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDFSHLC,Follicle Stimulating Hormone Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDLUHLC,Luteinizing Hormone Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDPG4LC,Progesterone Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDPG4SI,Progesterone (nmol/L),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDSHGLC,Sex Hormone Binding Globulin Comment Code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDTSTLC,Testosterone comment code,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDTSTSI,"Testosterone, total (nmol/L)",TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBX17H,17α-hydroxyprogesterone (ng/dL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXAMH,Anti-Mullerian hormone (ng/mL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXAND,Androstenedione (ng/dL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXDHE,Dehydroepiandrosterone sulfate (µg/dL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXES1,Estrone Sulfate (pg/mL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXESO,Estrone (ng/dL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXEST,Estradiol (pg/mL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXFSH,Follicle Stimulating Hormone (mIU/mL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXLUH,Luteinizing Hormone (mIU/mL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXPG4,Progesterone (ng/dL),TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXSHBG,"Sex Hormone Binding Globulin (SHBG, nmol/L)",TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBXTST,"Testosterone, total (ng/dL)",TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
SEQN,Respondent sequence number.,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 Year Weight,TST_L,Sex Steroid Hormone Panel - Serum,2021,2023,Laboratory,None
LBDINLC,Insulin Comment Code,INS_L,Insulin,2021,2023,Laboratory,None
LBDINSI,Insulin (pmol/L),INS_L,Insulin,2021,2023,Laboratory,None
LBXIN,Insulin (uU/mL),INS_L,Insulin,2021,2023,Laboratory,None
SEQN,Respondent sequence number.,INS_L,Insulin,2021,2023,Laboratory,None
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,INS_L,Insulin,2021,2023,Laboratory,None
LBDGLUSI,Fasting Glucose (mmol/L),GLU_L,Plasma Fasting Glucose,2021,2023,Laboratory,None
LBXGLU,Fasting Glucose (mg/dL),GLU_L,Plasma Fasting Glucose,2021,2023,Laboratory,None
SEQN,Respondent sequence number,GLU_L,Plasma Fasting Glucose,2021,2023,Laboratory,None
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,GLU_L,Plasma Fasting Glucose,2021,2023,Laboratory,None
PHAALCHR,"The time (in hours) the examinee last drank alcohol suchs as beer, wine, or liquor.",FASTQX_L,Fasting Questionnaire,2021,2023,Laboratory,None
PHAALCMN,"The time (in minutes) the examinee last drank alcohol such as beer, wine, or liquor.",FASTQX_L,Fasting Questionnaire,2021,2023,Laboratory,None
PHAANTHR,"The time (in hours) the examinee last had antacids, laxatives or anti-diarrheals.",FASTQX_L,Fasting Questionnaire,2021,2023,Laboratory,None
